time, mass, displacement x, displacement y, displacement, velocity x, velocity y, velocity, acceleration x, acceleration y, acceleration
6.28, 10, 212.5778, 196.2158, 289.2922, 41.69987, 10.48912, 42.99885, 2.5, -6.610001, 7.066973, 
6.32, 10, 214.2478, 196.6301, 290.8015, 41.79987, 10.22472, 43.03225, 2.5, -6.610001, 7.066973, 
6.36, 10, 215.9218, 197.0338, 292.309, 41.89987, 9.960323, 43.06747, 2.5, -6.610001, 7.066973, 
6.4, 10, 217.5998, 197.4269, 293.8147, 41.99987, 9.695923, 43.10452, 2.5, -6.610001, 7.066973, 
6.44, 10, 219.2818, 197.8095, 295.3187, 42.09987, 9.431522, 43.14339, 2.5, -6.610001, 7.066973, 
6.48, 10, 220.9678, 198.1815, 296.8209, 42.19987, 9.167122, 43.18408, 2.5, -6.610001, 7.066973, 
6.52, 10, 222.6578, 198.5429, 298.3216, 42.29987, 8.902721, 43.22658, 2.5, -6.610001, 7.066973, 
6.56, 10, 224.3518, 198.8937, 299.8206, 42.39986, 8.638321, 43.27088, 2.5, -6.610001, 7.066973, 
6.6, 10, 226.0498, 199.2339, 301.3182, 42.49986, 8.37392, 43.31698, 2.5, -6.610001, 7.066973, 
6.64, 10, 227.7518, 199.5636, 302.8143, 42.59986, 8.10952, 43.36488, 2.5, -6.610001, 7.066973, 
6.68, 10, 229.4578, 199.8827, 304.309, 42.69986, 7.84512, 43.41456, 2.5, -6.610001, 7.066973, 
6.72, 10, 231.1678, 200.1912, 305.8023, 42.79986, 7.58072, 43.46602, 2.5, -6.610001, 7.066973, 
6.76, 10, 232.8818, 200.4892, 307.2943, 42.89986, 7.31632, 43.51926, 2.5, -6.610001, 7.066973, 
6.8, 10, 234.5997, 200.7765, 308.7851, 42.99986, 7.05192, 43.57427, 2.5, -6.610001, 7.066973, 
6.84, 10, 236.3217, 201.0533, 310.2747, 43.09985, 6.78752, 43.63104, 2.5, -6.610001, 7.066973, 
6.88, 10, 238.0477, 201.3195, 311.7632, 43.19985, 6.52312, 43.68957, 2.5, -6.610001, 7.066973, 
6.92, 10, 239.7777, 201.5752, 313.2505, 43.29985, 6.25872, 43.74984, 2.5, -6.610001, 7.066973, 
6.96, 10, 241.5117, 201.8202, 314.7369, 43.39985, 5.99432, 43.81186, 2.5, -6.610001, 7.066973, 
7, 10, 243.2497, 202.0547, 316.2223, 43.49985, 5.72992, 43.87561, 2.5, -6.610001, 7.066973, 
7.04, 10, 244.9917, 202.2786, 317.7068, 43.59985, 5.46552, 43.94108, 2.5, -6.610001, 7.066973, 
7.08, 10, 246.7377, 202.4919, 319.1903, 43.69984, 5.20112, 44.00827, 2.5, -6.610001, 7.066973, 
7.12, 10, 248.4877, 202.6947, 320.6732, 43.79984, 4.93672, 44.07718, 2.5, -6.610001, 7.066973, 
7.16, 10, 250.2417, 202.8869, 322.1552, 43.89984, 4.67232, 44.14778, 2.5, -6.610001, 7.066973, 
7.2, 10, 251.9997, 203.0685, 323.6366, 43.99984, 4.40792, 44.22009, 2.5, -6.610001, 7.066973, 
7.24, 10, 253.7617, 203.2395, 325.1174, 44.09984, 4.14352, 44.29407, 2.5, -6.610001, 7.066973, 
7.28, 10, 255.5277, 203.4, 326.5975, 44.19984, 3.87912, 44.36973, 2.5, -6.610001, 7.066973, 
7.32, 10, 257.2977, 203.5499, 328.0772, 44.29984, 3.61472, 44.44706, 2.5, -6.610001, 7.066973, 
7.36, 10, 259.0717, 203.6891, 329.5564, 44.39983, 3.35032, 44.52606, 2.5, -6.610001, 7.066973, 
7.4, 10, 260.8496, 203.8179, 331.0351, 44.49983, 3.08592, 44.6067, 2.5, -6.610001, 7.066973, 
7.44, 10, 262.6316, 203.936, 332.5135, 44.59983, 2.82152, 44.68899, 2.5, -6.610001, 7.066973, 
7.48, 10, 264.4176, 204.0436, 333.9917, 44.69983, 2.55712, 44.77291, 2.5, -6.610001, 7.066973, 
7.52, 10, 266.2076, 204.1406, 335.4696, 44.79983, 2.29272, 44.85846, 2.5, -6.610001, 7.066973, 
7.56, 10, 268.0016, 204.227, 336.9474, 44.89983, 2.02832, 44.94562, 2.5, -6.610001, 7.066973, 
7.6, 10, 269.7996, 204.3029, 338.425, 44.99982, 1.76392, 45.03438, 2.5, -6.610001, 7.066973, 
7.64, 10, 271.6016, 204.3681, 339.9026, 45.09982, 1.49952, 45.12474, 2.5, -6.610001, 7.066973, 
7.68, 10, 273.4076, 204.4228, 341.3801, 45.19982, 1.23512, 45.21669, 2.5, -6.610001, 7.066973, 
7.72, 10, 275.2176, 204.4669, 342.8578, 45.29982, 0.9707198, 45.31022, 2.5, -6.610001, 7.066973, 
7.76, 10, 277.0316, 204.5005, 344.3355, 45.39982, 0.7063198, 45.40531, 2.5, -6.610001, 7.066973, 
7.8, 10, 278.8496, 204.5234, 345.8134, 45.49982, 0.4419198, 45.50196, 2.5, -6.610001, 7.066973, 
7.84, 10, 280.6716, 204.5358, 347.2916, 45.59982, 0.1775198, 45.60016, 2.5, -6.610001, 7.066973, 
7.88, 10, 282.4976, 204.5376, 348.77, 45.69981, -0.08688021, 45.69989, 2.5, -6.610001, 7.066973, 
7.92, 10, 284.3275, 204.5289, 350.2488, 45.79981, -0.3512802, 45.80116, 2.5, -6.610001, 7.066973, 
7.96, 10, 286.1615, 204.5096, 351.728, 45.89981, -0.6156802, 45.90394, 2.5, -6.610001, 7.066973, 
8, 10, 287.9995, 204.4796, 353.2076, 45.99981, -0.8800802, 46.00823, 2.5, -6.610001, 7.066973, 
8.04, 10, 289.8415, 204.4391, 354.6878, 46.09981, -1.14448, 46.11401, 2.5, -6.610001, 7.066973, 
8.08, 10, 291.6875, 204.3881, 356.1686, 46.19981, -1.40888, 46.22128, 2.5, -6.610001, 7.066973, 
8.12, 10, 293.5375, 204.3264, 357.65, 46.2998, -1.67328, 46.33003, 2.5, -6.610001, 7.066973, 
8.16, 10, 295.3915, 204.2542, 359.1321, 46.3998, -1.93768, 46.44024, 2.5, -6.610001, 7.066973, 
8.2, 10, 297.2495, 204.1714, 360.6151, 46.4998, -2.20208, 46.55191, 2.5, -6.610001, 7.066973, 
8.24, 10, 299.1115, 204.078, 362.0988, 46.5998, -2.46648, 46.66503, 2.5, -6.610001, 7.066973, 
8.28, 10, 300.9775, 203.9741, 363.5834, 46.6998, -2.73088, 46.77958, 2.5, -6.610001, 7.066973, 
8.32, 10, 302.8475, 203.8596, 365.0689, 46.7998, -2.99528, 46.89555, 2.5, -6.610001, 7.066973, 
8.36, 10, 304.7215, 203.7345, 366.5555, 46.8998, -3.25968, 47.01294, 2.5, -6.610001, 7.066973, 
8.4, 10, 306.5995, 203.5988, 368.0431, 46.99979, -3.52408, 47.13173, 2.5, -6.610001, 7.066973, 
8.44, 10, 308.4814, 203.4525, 369.5318, 47.09979, -3.78848, 47.25191, 2.5, -6.610001, 7.066973, 
8.48, 10, 310.3674, 203.2957, 371.0217, 47.19979, -4.05288, 47.37347, 2.5, -6.610001, 7.066973, 
8.52, 10, 312.2574, 203.1283, 372.5128, 47.29979, -4.31728, 47.49641, 2.5, -6.610001, 7.066973, 
8.56, 10, 314.1514, 202.9503, 374.0052, 47.39979, -4.58168, 47.6207, 2.5, -6.610001, 7.066973, 
8.6, 10, 316.0494, 202.7618, 375.4991, 47.49979, -4.84608, 47.74635, 2.5, -6.610001, 7.066973, 
8.64, 10, 317.9514, 202.5626, 376.9943, 47.59978, -5.11048, 47.87334, 2.5, -6.610001, 7.066973, 
8.68, 10, 319.8574, 202.3529, 378.491, 47.69978, -5.37488, 48.00165, 2.5, -6.610001, 7.066973, 
8.72, 10, 321.7674, 202.1327, 379.9893, 47.79978, -5.63928, 48.13129, 2.5, -6.610001, 7.066973, 
8.76, 10, 323.6814, 201.9018, 381.4891, 47.89978, -5.90368, 48.26223, 2.5, -6.610001, 7.066973, 
8.8, 10, 325.5994, 201.6604, 382.9907, 47.99978, -6.16808, 48.39446, 2.5, -6.610001, 7.066973, 
8.84, 10, 327.5214, 201.4083, 384.4939, 48.09978, -6.43248, 48.52798, 2.5, -6.610001, 7.066973, 
8.88, 10, 329.4474, 201.1458, 385.9989, 48.19978, -6.69688, 48.66278, 2.5, -6.610001, 7.066973, 
8.92, 10, 331.3773, 200.8726, 387.5058, 48.29977, -6.96128, 48.79885, 2.5, -6.610001, 7.066973, 
